country	county	date	genus	host	host_genus	host_species	latitude	lineage	longitude	mating_type	person	species	state	strain	town
?	?	?	Phytophthora	?	?	?	?	?	?	?	?	ramorum	?	7612-D1	?
USA	Curry	2002	Phytophthora	Tanoak	Notholithocarpus	densiflorus	42.07825	NA1	-124.26105	A2	P.Reeser	ramorum	OR	7612-D11	?
USA	Curry	2004	Phytophthora	Tanoak	Notholithocarpus	densiflorus	42.10781	NA1	-124.2504	A2	P.Reeser	ramorum	OR	7612-F10	?
USA	Curry	2004	Phytophthora	Tanoak	Notholithocarpus	densiflorus	42.08139	NA1	-124.25	A2	?	ramorum	OR	7612-F6	?
USA	Curry	2003	Phytophthora	Tanoak	Notholithocarpus	densiflorus	42.14188	NA1	-124.26797	A2	P.Reeser	ramorum	OR	7612-G11	?
USA	Curry	2018	Phytophthora	Tanoak	Notholithocarpus	densiflorus	42.29316567	EU1	-124.3872632	A1	P.Reeser	ramorum	OR	7881-A10	?
USA	Curry	2018	Phytophthora	Tanoak	Notholithocarpus	densiflorus	42.33257872	EU1	-124.3837086	A1	P.Reeser	ramorum	OR	7881-A9	?
USA	Curry	2004	Phytophthora	Tanoak	Notholithocarpus	densiflorus	42.07966	NA1	-124.26046	A2	P.Reeser	ramorum	OR	7881-D12	?
USA	Curry	2018	Phytophthora	Tanoak	Notholithocarpus	densiflorus	42.33426247	EU1	-124.4002058	A1	P.Reeser	ramorum	OR	7881-D9	?
USA	Curry	2017	Phytophthora	Tanoak	Notholithocarpus	densiflorus	42.30525	EU1	-124.40121	A1	P.Reeser	ramorum	OR	7881-G8	?
USA	Curry	2019	Phytophthora	Tanoak	Notholithocarpus	densiflorus	42.32055534	EU1	-124.3795487	A1	P.Reeser	ramorum	OR	7881-H5	?
?	?	?	Phytophthora	?	?	?	?	?	?	?	?	ramorum	?	7885-A8	?
?	?	?	Phytophthora	?	?	?	?	?	?	?	?	ramorum	?	7885-A9	?
?	?	?	Phytophthora	?	?	?	?	?	?	?	?	ramorum	?	7885-B8	?
?	?	?	Phytophthora	?	?	?	?	?	?	?	?	ramorum	?	7885-B9	?
USA	Curry	2005	Phytophthora	Tanoak	Notholithocarpus	densiflorus	42.08025	NA1	-124.26092	A2	?	ramorum	OR	7885-C1	?
?	?	?	Phytophthora	?	?	?	?	?	?	?	?	ramorum	?	7885-C8	?
?	?	?	Phytophthora	?	?	?	?	?	?	?	?	ramorum	?	7885-C9	?
?	?	?	Phytophthora	?	?	?	?	?	?	?	?	ramorum	?	7885-D8	?
?	?	?	Phytophthora	?	?	?	?	?	?	?	?	ramorum	?	7885-D9	?
?	?	?	Phytophthora	?	?	?	?	?	?	?	?	ramorum	?	7885-E8	?
?	?	?	Phytophthora	?	?	?	?	?	?	?	?	ramorum	?	7885-E9	?
?	?	?	Phytophthora	?	?	?	?	?	?	?	?	ramorum	?	7885-F8	?
?	?	?	Phytophthora	?	?	?	?	?	?	?	?	ramorum	?	7885-F9	?
